keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>please_enter_your_pln_number,Please enter your pln number,Please enter your pin number,กรุณาป้อนรหัสผ่านของคุณ,Vui lòng nhập số máy lẻ của bạn,请输入您的 PIN 码,请输入您的 PIN 码
string-->>please_enter_your_phone,Please Enter your phone,Sila masukkan telefon anda,กรุณาป้อนโทรศัพท์ของคุณ,Vui lòng Nhập số điện thoại của bạn,请输入您的手机,请输入您的手机
string-->>confirmation,Confirmation,Pengesahan,การยืนยัน,Xác nhận,确认,确认
string-->>are_you_sure_you_want_to_redeem,Are you sure you want to redeem,Adakah anda pasti mahu menebusnya?,คุณแน่ใจหรือไม่ว่าต้องการแลกรางวัล,Bạn có chắc là mình muốn đổi,是否确实要兑换,是否确实要兑换
string-->>reward_for_this_phone_number,Reward for this Phone No,Ganjaran untuk telefon nombor ini,รางวัลสำหรับหมายเลขโทรศัพท์นี้,Thưởng cho Số Điện thoại này,此电话奖励否,此电话奖励否
string-->>thank_you,Thank You!,Terima Kasih!,ขอขอบคุณ!,Cảm ơn Bạn!,谢谢！,谢谢！
string-->>error_response,ERROR RESPONSE,TANDA BALAS KESILAPAN,การตอบสนองผิดพลาด,ERROR RESPONSE,错误响应,错误响应
string-->>are_you_sure,Are you sure?,Adakah anda pasti?,คุณแน่ใจหรือไม่?,Bạn có chắc không?,是否确定？,是否确定？
string-->>loading_profile,Loading Profile....,Memuatkan profil ....,กำลังโหลดข้อมูล...,Đang tải Hồ sơ....,正在加载配置文件...,正在加载配置文件...
string-->>loading_strengths,Loading Strengths....,Memuatkan Kekuatan ....,,Đang tải Ưu điểm....,加载强度...,加载强度...
string-->>nominate,NOMINATE,DICALONKAN,,ĐỀ CỬ,提名,提名
string-->>thanks_for_nominating,Thanks for nominating,Terima kasih kerana mencalonkan,,Cảm ơn bạn đã đề cử,感谢您的提名,感谢您的提名
string-->>appreciate,APPRECIATE,MENGHARGAI,ซาบซึ้ง,GHI NHẬN,赞赏,赞赏
string-->>points_remaining_for_allocations,Points remaining for allocations:,Sisa mata untuk peruntukan:,คะแนนคงเหลือในการให้,Số điểm còn lại để phân bổ:,分配的剩余积分：,分配的剩余积分：
string-->>thanks_for_appreciating,Thanks for appreciating,Terima kasih kerana menghargai,ขอบคุณที่แสดงความขอบคุณ,Cảm ơn bạn đã đánh giá cao,感谢您的赞赏,感谢您的赞赏
string-->>endorsing,Endorsing....,Mengesahkan ....,,Đang xác thực ....,赞同。。。。,赞同。。。。
string-->>select_at_least_one_strengths,Select at least one strength to appreciate,Pilih sekurang-kurangnya satu kekuatan untuk menghargai,เลือกจุดเด่นเพื่อขอบคุณ,Chọn ít nhất một ưu điểm để đánh giá cao,选择至少一种力量来欣赏,选择至少一种力量来欣赏
string-->>select_at_least_one_strengths_to_nominate,Select at least one strength to nominate,Pilih sekurang-kurangnya satu kekuatan untuk mencalonkan,,Chọn ít nhất một ưu điểm để đề cử,选择至少一个强度进行提名,选择至少一个强度进行提名
string-->>add_subject_related_to,Add subject related to,Tambah subjek yang berkaitan dengan,เพิ่มหัวข้อที่เกี่ยวข้องไปยัง,Thêm chủ đề liên quan đến,添加与,添加与
string-->>add_message_related_to,Add message related to,Tambah mesej yang berkaitan dengan,เพิ่มข้อความที่เกี่ยวข้องไปยัง,Thêm tin nhắn liên quan đến,添加与,添加与
string-->>password_should_be_same,New password and confirm password should be same.,Kata laluan baru dan kata laluan mengesahkan harus sama.,รหัสผ่านใหม่ และการยืนยันรหัสผ่านควรเหมือนกัน,Mật khẩu mới và mật khẩu dùng để xác nhận phải giống nhau.,新密码和确认密码应相同。,新密码和确认密码应相同。
string-->>password_eight_character,Password must be 8 characters long!,Kata laluan mesti 8 aksara panjang!,รหัสผ่านต้องมีความยาว 8 ตัวอักษร!,Mật khẩu phải dài 8 ký tự!,密码为 8 个字符长！,密码为 8 个字符长！
string-->>password_changed_successfully,Password changed successfully.,Kata Laluan berjaya ditukar.,เปลี่ยนรหัสผ่านสำเร็จ,Đã thay đổi mật khẩu thành công.,密码已成功更改。,密码已成功更改。
string-->>enter_valid_mobile_number,Enter valid mobile number.,Masukkan nombor mudah alih yang sah.,ป้อนหมายเลขโทรศัพท์มือถือที่ถูกต้อง,Nhập số điện thoại di động hợp lệ.,输入有效的手机号码。,输入有效的手机号码。
string-->>please_enter_your_dob,Please enter your DOB,Sila masukkan Tarikh Hari Jadi anda,กรุณาป้อนวันเดือนปีเกิดของคุณ,Vui lòng nhập ngày sinh của bạn,请输入您的 DOB,请输入您的 DOB
string-->>please_enter_mobile_number,Please enter mobile number.,Sila masukkan nombor telefon bimbit.,กรุณาป้อนเบอร์โทรศัพท์มือถือ,Vui lòng nhập số điện thoại di động.,请输入手机号码。,请输入手机号码。
string-->>please_enter_first_name,Please enter first name,Sila masukkan nama pertama,กรุณาป้อนชื่อ,Vui lòng nhập tên,请输入名字,请输入名字
string-->>please_enter_last_name,Please enter last name,Sila masukkan nama belakang,กรุณาป้อนนามสกุล,Vui lòng nhập họ,请输入姓氏,请输入姓氏
string-->>please_enter_address1,Please enter address1,Sila masukkan alamat1,กรุณาป้อนที่อยู่1,Vui lòng nhập địa chỉ1,请输入地址1,请输入地址1
string-->>required_permission_not_granted,Required permissions are not granted,Kebenaran yang diperlukan tidak diberikan,การขออนุญาตใช้งานไม่ได้รับการยินยอม,Các quyền bắt buộc không được cấp,未授予所需的权限,未授予所需的权限
string-->>cant_select_future_date,You can\'t select future date,Anda tidak boleh memilih tarikh yang akan datang,,Bạn không thể chọn ngày trong tương lai,您无法选择未来日期,您无法选择未来日期
string-->>use_location,Use Location ?,Gunakan Lokasi?,,Sử dụng Vị trí?,使用位置？,使用位置？
string-->>switch_on_location_accurate_steps_tracking,Switch on location for accurate steps tracking and check-ins,Beralih lokasi untuk penjejakan langkah tepat dan daftar masuk,,Bật vị trí để theo dõi bước đi và các điểm đăng ký chính xác,打开位置，实现准确的步骤跟踪和签入,打开位置，实现准确的步骤跟踪和签入
string-->>ignore,Ignore,Abai,,Bỏ qua,忽略,忽略
string-->>go_to_settings,Go To Settings,Pergi ke Tetapan,,Đi tới Cài đặt,"转到""设置""","转到""设置"""
string-->>no_google_fit_app_installed,No Google Fit App Installed,Tiada Aplikasi Google Fit Dipasang,,Không có Ứng dụng Google Fit nào được Cài đặt,未安装 Google 健身应用程序,未安装 Google 健身应用程序
string-->>go_to_dashboard,Go to Dashboard,Pergi ke Papan Pemuka,,Đi đến Bảng điều khiển,转到仪表板,转到仪表板
string-->>download_google_fit_app,Download Google fit App.,Muat turun aplikasi Google Fit.,,Tải xuống Ứng dụng Google fit.,下载谷歌适合的应用程序。,下载谷歌适合的应用程序。
string-->>google_play_services_not_installed,Google Play Services is not installed,Perkhidmatan Google Play tidak dipasang,ไม่ได้ติดตั้ง Google Play Services,Dịch vụ Google Play chưa được cài đặt,未安装 Google 播放服务,未安装 Google 播放服务
string-->>enter_valid_username_password,Enter Valid Username and Password.,Masukkan Nama Pengguna dan Kata Laluan yang Sah.,ป้อนชื่อผู้ใช้ และรหัสผ่านที่ถูกต้อง,Nhập Tên đăng nhập và Mật khẩu Hợp lệ.,输入有效的用户名和密码。,输入有效的用户名和密码。
string-->>enter_valid_username,Enter Valid username.,Masukkan nama pengguna yang sah.,ป้อนชื่อผู้ใช้ที่ถูกต้อง,Nhập tên đăng nhập Hợp lệ.,输入有效用户名。,输入有效用户名。
string-->>enter_valid_password,Enter Valid Password.,Masukkan Kata Laluan Sah.,ป้อนรหัสผ่านที่ถูกต้อง,Nhập Mật khẩu Hợp lệ.,输入有效密码。,输入有效密码。
string-->>request,Request,Permintaan,คำขอ,Yêu cầu,请求,请求
string-->>loggin_in,Logging in....,Log masuk ....,กำลังเข้าสู่ระบบ...,Đang đăng nhập....,登录...,登录...
string-->>logout_text,LOGOUT,LOG KELUAR,ออกจากระบบ,ĐĂNG XUẤT,登出,登出
string-->>please_change_password,Please change password.,Sila tukar kata laluan.,กรุณาเปลี่ยนรหัสผ่าน,Vui lòng thay đổi mật khẩu.,请更改密码。,请更改密码。
string-->>proceed,Proceed,Teruskan,ตกลง,Tiếp tục,进行,进行
string-->>authenticating,Authenticating....,Mengesahkan ....,,Đang xác thực....,认证。。。。,认证。。。。
string-->>logout_login_setting,Please Logout and Login for app settings to take place,Sila Keluar dan Log masuk untuk tetapan aplikasi untuk berlaku,กรุณาออกจากระบบ และเข้าสู่ระบบเพื่อให้เกิดการตั้งค่าแอพ,Vui lòng Đăng xuất và Đăng nhập để cài đặt ứng dụng,请登出再登录以便进行应用设置,请登出再登录以便进行应用设置
string-->>warning,Warning,Amaran,คำเตือน,Cảnh báo,警告,警告
string-->>install_google_fit_app_continue,Please install Google Fit app to continue. Click OK to connect to other available tracker.,Sila pasang aplilasi Google Fit untuk meneruskan. Klik OK untuk bersambung ke pelacak lain yang tersedia.,,Vui lòng cài đặt ứng dụng Google Fit để tiếp tục. Nhấp vào OK để kết nối với trình theo dõi khả dụng khác.,"请安装谷歌适合的应用程序继续。单击""确定""以连接到其他可用的跟踪器。","请安装谷歌适合的应用程序继续。单击""确定""以连接到其他可用的跟踪器。"
string-->>get_google_fit_app,Get Google Fit app,Dapatkan aplikasi Google Fit,,Tải ứng dụng Google Fit,获取谷歌健身应用程序,获取谷歌健身应用程序
string-->>click_back_again_to_exit,Please click back again to exit,Sila klik kembali untuk keluar,กรุณาคลิกย้อนกลับอีกครั้งเพื่อออกจากระบบ,Vui lòng nhấp lại lần nữa để thoát,请再次单击以退出,请再次单击以退出
string-->>notice,Notice,Notis,,Lưu ý,通知,通知
string-->>all_permission_acquired,All permissions should be acquired,Semua kebenaran harus diperolehi,,Phải mua lại tất cả các quyền,应获取所有权限,应获取所有权限
