keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>colleague_bday_today,It\'s your colleague\'s birthday today.,إنه عيد ميلاد زميلك اليوم.,Hari lahir rakan sekerja anda hari ini.,Сегодня день рождения вашего коллеги.,มันเป็นเพื่อนร่วมงานของคุณ วันเกิด today.,Hôm nay là ngày sinh nhật đồng nghiệp bạn.,今天是你同事的生日。,今天是你同事的生日。
string-->>is_your_colleague_bday_on,It\'s your colleague\'s birthday on,إنه عيد ميلاد زميلك على,Ini hari jadi rakan sekerja anda,День рождения вашего коллеги,มันเป็นเพื่อนร่วมงานของคุณ วันเกิด บน,Ngày sinh nhật của đồng nghiệp bạn là vào,今天是你同事的生日,今天是你同事的生日
string-->>was_your_colleague_bday_on,It was your colleague\'s birthday on,كان عيد ميلاد زميلك على,Ia adalah hari jadi rakan sekerja anda,День рождения вашего коллеги был,มันเป็นเพื่อนร่วมงานของคุณ วันเกิด บน,Ngày sinh nhật của đồng nghiệp bạn đã là vào,这是你同事的生日,这是你同事的生日
string-->>your_bday_today,It\'s your birthday today.,إنه عيد ميلادك اليوم.,Hari lahir and a hari ini.,Сегодня ваш день рождения.,มันเป็นของคุณ วันเกิด today.,Hôm nay là ngày sinh nhật của bạn.,今天是你的生日。,今天是你的生日。
string-->>is_your_bday_on,It\'s your birthday on,انها عيد ميلادك على,Ia hari jadi anda,Ваш день рождения,มันเป็นของคุณ วันเกิด บน,Ngày sinh nhật của bạn là vào,今天是你的生日,今天是你的生日
string-->>was_your_bday_on,It was your birthday on,كان عيد ميلادك,Ia adalah hari lahir anda,Ваш день рождения был,มันเป็นของคุณ วันเกิด บน,Ngày sinh nhật của bạn đã là vào,这是你的生日,这是你的生日
string-->>colleague_anniversary_today,It\'s your colleague\'s %1$sanniversary today.,إنها الذكرى s$1% لزميلك اليوم.,It \'s rakan sekerja anda \'s %1$s sulang tahun hari ini.,Сегодня у вашего коллеги %1$ годовщина.,วันนี้เป็นวันครบรอบ %1$sปี ของเพื่อนร่วมงานคุณ,Hôm nay là ngày kỷ niệm %1$sanniversary của đồng nghiệp bạn.,今天是您同事的%1$s周年纪念日,今天是您同事的%1$s周年纪念日
string-->>is_colleague_anniversary_on,It\'s your colleague\'s %1$sanniversary on,إنها الذكرى السنوية s$1% لزميلك في,It \'s rakan sekerja anda \'s %1$s sulang tahun pada,У вашего коллеги %1$ годовщина,วันครบรอบ %1$sปี ของเพื่อนร่วมงานคุณ ณ วันที่,Ngày kỷ niệm %1$sanniversary của đồng nghiệp bạn là vào,这是您的同事%1$s周年纪念日,这是您的同事%1$s周年纪念日
string-->>was_colleague_anniversary_on,It was your colleague\'s %1$sanniversary on,,Ia adalah rakan sekerja anda \'s %1$s sulang tahun pada,У вашего коллеги была годовщина %1$,วันครบรอบ %1$sปี ของเพื่อนร่วมงานคุณ ณ วันที่,Ngày kỷ niệm %1$sanniversary của đồng nghiệp bạn đã là vào,这是您同事的%1$s周年纪念日,这是您同事的%1$s周年纪念日
string-->>your_anniversary_today,It\'s your %1$sanniversary today.,إنها الذكرى s$1% اليوم.,It \'s %1$s sulang tahun hari ini.,Сегодня у вас %1$ годовщина.,วันนี้เป็นวันครบรอบ %1$sปี,Hôm nay là ngày kỷ niệm %1$sanniversary của bạn.,今天是您的%1$s周年纪念日。,今天是您的%1$s周年纪念日。
string-->>is_your_anniversary_on,It\'s your %1$sanniversary on,إنها الذكرى s$1% الخاصة بك في,It \'s anda %1$s sulang tahun pada,У вас %1$ годовщина,วันครบรอบ %1$sปี ณ,Ngày kỷ niệm%1$ của bạn là vào,这是您的%1$s周年纪念日,这是您的%1$s周年纪念日
string-->>was_your_anniversary_on,It was your %1$sanniversary on,كان يوم الذكرى s$1% الخاص بك,Ia adalah %1$s sulang tahun pada,У вас была %1$ годовщина,วันครบรอบ %1$sปี ณ วันที่,Ngày kỷ niệm%1$ của bạn đã là vào,这是您的%1$s周年纪念日,这是您的%1$s周年纪念日
string-->>wish_you_a_wonderful_birthday,Wish you a wonderful birthday.,أتمنى لك عيد ميلاد رائع.,Selamat Hari Jadi kepada anda!,Желаем Вам чудесного дня рождения.,ขอให้คุณวิเศษ วันเกิด.,Chúc bạn đón một sinh nhật tuyệt vời.,祝你生日快乐！,祝你生日快乐！
string-->>no_email_client_installed,There are no email clients installed.,لا توجد عملاء البريد الإلكتروني مثبتة.,Tiada pelanggan e-mel yang dipasang.,Почтовые клиенты не установлены.,ไม่มีการติดตั้งอีเมล์ลูกค้า,Không có trình duyệt email nào được cài đặt.,未安装电子邮件客户端。,未安装电子邮件客户端。
string-->>wish_you_a_wonderful_anniversary,Wish you a wonderful Anniversary!,أتمنى لكم ذكرى رائعة!,Selamat Ulang Tahun kepada anda!,Желаем Вам чудесной годовщины!,ขอให้คุณวิเศษ วันครบรอบ,Chúc bạn đón một Ngày kỷ niệm tuyệt vời!,祝你周年快乐！,祝你周年快乐！
string-->>send_mail,Send mail....,ارسل بريد....,Hantar surat....,Отправить письмо...,ส่งเมล์...,Gửi email....,发送邮件...,发送邮件...
string-->>you_have_earned,You have earned,كنت قد كسبت,Anda telah memperoleh,Вы заработали,คุณได้รับ,Bạn đã giành được,您已赚取,您已赚取
string-->>points_to_redeem,points to redeem,يشير إلى الاسترداد,mata untuk menebus,баллы для обмена,คะแนนเพื่อแลก,điểm để đổi,积分兑换,积分兑换
string-->>rewards_to_redeem,rewards to redeem,المكافآت لاسترداد,ganjaran untuk ditebus,вознаграждения за баллы,รางวัลเพื่อแลกรับ,phần thưởng để đổi,兑换奖励,兑换奖励
string-->>you_have,You have,عندك,Kamu ada,У вас есть,คุณมี,Bạn có,你有,你有
string-->>nearby_rewards,Nearby Rewards,المكافآت القريبة,Ganjaran Berdekatan,Награды рядом,รางวัลใกล้เคียง,Phần thưởng gần đây,附近奖励,附近奖励
string-->>code,CODE,الشفرة,KOD,КОД,รหัส,MÃ,代码,代码
string-->>redeemed_on_the,Redeemed on the,استبدالها على,Penebusan pada,Обменяно,แลกของรางวัลเมื่อ,Đã đổi thưởng trên,兑换在,兑换在
string-->>your_promo_code,Your Promo code,رمز الترويجي الخاص بك,Promo kod and a,Ваш промокод,รหัสโปรโมชั่นของคุณ,Mã khuyến mãi của bạn,您的代码,您的代码
string-->>code_copied_to_clipboard,Code copied to clipboard,code نسخ إلى الحافظة,Kod disalin ke papan keratan,Код скопирован в буфер обмена,คัดลอกรหัสไปยังคลิปบอร์ด,Đã sao chép mã vào clipboard,复制到剪贴板的代码,复制到剪贴板的代码
string-->>not_available,N/A,ن / أ,N/A,N/A,N/A,Không rõ,不适用,不适用
string-->>press_link_for_more_detail,Press Link for more detail,اضغط على رابط لمزيد من التفاصيل,Tekan Link untuk maklumat lanjut,Нажмите ссылку для получения более подробной информации,กดลิงค์เพื่อดูรายละเอียดเพิ่มเติม,Nhấn vào Liên kết để biết thêm chi tiết,按链接了解更多详情,按链接了解更多详情
string-->>please_select_any_mobile_number_for_call,Please select any mobile number for call,يرجى تحديد أي رقم جوال للاتصال,Sila pilih mana-mana nombor mudah alih untuk panggilan,"Пожалуйста, выберите любой номер мобильного телефона для звонка",กรุณาเลือกหมายเลขโทรศัพท์สำหรับการติดต่อ,Vui lòng chọn bất kỳ số điện thoại di động nào để gọi,请选择任何手机号码进行呼叫,请选择任何手机号码进行呼叫
